Código;Descripción;;Linea;Imp.;Desc.;Precio Vent.;Precio May.;Precio Cost.;Stock Min;Mon.
7896072006049;PREPARADO EN POLVO POTE 400G FRUTAS TRO;UNIDADES;1;10;0;8.700;0;6.900;2;1
7896072016017;CHANTILLY BRETZE 50G;UNIDADES;19;10;0;5.000;0;3.740;2;1
7896072023015;CHOCOLATE EN POLVO BRETZKE 200 G.;UNIDADES;1;10;0;7.500;0;6.250;2;1
7896072047035;FLAN BRETZKE VAINILLA 60GR;UNIDADES;26;10;0;2.100;0;1.668;2;1
7896072047042;FLAN BRETZKE;UNIDADES;26;10;0;2.100;0;1.668;2;1
7896072047066;FLAN CHOCOLATE BRETZKE 70GR;UNIDADES;26;10;0;2.100;0;1.668;2;1
7896072047073;FLAN BRETZKE COCO;UNIDADES;26;10;0;2.100;0;1.668;2;1
7896072048018;GELATINA BRETZKE ABACAXI;UNIDADES;1;10;0;2.050;0;1.100;2;1
7896072048056;GELATINA BRETZKE CEREJA;UNIDADES;1;10;0;2.050;0;1.550;2;1
7896072048094;GELATINA BRETZKE FRANBOESA;UNIDADES;1;10;0;2.050;0;0;2;1
7896072048131;GELATINA BRETZKE MORANGO;UNIDADES;1;10;0;2.050;0;0;2;1
7896072048162;GELATINA BRETZKE UVA;UNIDADES;1;10;0;2.050;0;1.550;2;1
7896072048209;GELATINA DE MARACUJA;UNIDADES;1;10;0;2.050;0;1.550;2;1
7896072048933;GEL. BRETZKE CEREZA 30GR;UNIDADES;26;10;0;2.500;0;1.920;2;1
7896072048940;GEL BRETZKE MANDARINA 30GR;UNIDADES;1;10;0;1.990;0;1.483;2;1
7896072048971;GEL. BRETZKE PIÑA 30GR;UNIDADES;26;10;0;2.450;0;1.920;2;1
7896072048988;GELATINA BRETZKE FRAMBUESA;UNIDADES;26;10;0;2.500;0;1.920;2;1
7896072048995;BRETZKE LIMON GELATINA 30G;UNIDADES;6;10;0;2.450;0;1.920;2;1
7896072049008;GEL. BRETZKE FRUTILLA 30GR;UNIDADES;26;10;0;2.500;0;1.920;2;1
7896072049015;GEL. BRETZKE DURAZNO 30GR;UNIDADES;26;10;0;2.500;0;1.920;2;1
7896072049022;GEL BRETZKE UVA 30GR;UNIDADES;26;10;0;2.500;0;1.920;2;1
7896072049039;GEL. BRETZKE MARACUYA 30GR;UNIDADES;26;10;0;2.500;0;1.920;2;1
7896072049046;GELATINA BRETZKE BLUEBERRY 30GR;UNIDADES;26;10;0;2.200;0;1.746;2;1
7896072052015;GELATINA DIET BRETZKE ABACAXI;UNIDADES;26;10;0;2.700;0;2.076;2;1
7896072052091;GELATINA DIET BRETZKE SABOR FRAMBUESA 12 GRS;UNIDADES;26;10;0;2.700;0;2.076;2;1
7896072052121;GELATINA DIET BRETZKE LIMON;UNIDADES;1;10;0;2.700;0;2.076;2;1
7896072052138;GELATINA DIET BRETZKE MORANGO;UNIDADES;26;10;0;2.700;0;2.076;2;1
7896072052169;GELATINA DIET BRETZKE UVA;UNIDADES;26;10;0;2.700;0;2.076;2;1
7896072061154;MILK SHAKE XUKY INSTANTANEO CHOCOLATE 45;UNIDADES;27;10;0;13.400;0;10.622;2;1
7896072061178;MILK SHAKE XUKY VAINILLA 450 GRS.;UNIDADES;1;10;0;13.400;0;10.622;2;1
7896072061185;MILK SHAKE XUKY INSTANTANEO COCO 450G;UNIDADES;27;10;0;13.400;0;10.622;2;1
7896072061192;MILK SHAKE XUKY INSTANTANEO MORANGO 450;UNIDADES;26;10;0;13.400;0;10.622;2;1
7896072077032;BUDIN BRETZKE VAINILLA 85GR;UNIDADES;26;10;0;2.100;0;1.668;2;1
7896072077049;BUDIN BRETZKE;UNIDADES;1;10;0;1.780;0;0;2;1
7896072077063;BUDIN BRETZKE CHOCOLATE 85GR;UNIDADES;26;10;0;2.100;0;1.668;2;1
7896072077070;BUDIN BRETZKE COCO 85GR;UNIDADES;26;10;0;2.100;0;1.668;2;1
7896072077131;BUDIN BRETZKE MORANGO 85G;UNIDADES;1;10;0;1.780;0;1.405;2;1
7896072093483;PACK MUKY 2 BOLSAS 400GR + LATA GRATIS;UNIDADES;26;10;0;16.350;0;12.979;2;1
7896072644203;CHOCOLATE EM PO SOLUVEL;UNIDADES;1;10;0;7.150;0;6.185;2;1
7896072644418;COPALSA GOTAS DE CHOCOLATE POR KILO;PESABLE;19;10;0;32.500;0;25.000;2;1
7896072692754;COB. CHOC. LECHE 1KG;UNIDADES;26;10;0;30.000;0;23.000;2;1
7896072900101;CATUABA GLADIADOR 980ML;UNIDADES;1;10;0;8.900;0;7.326;2;1
7896072900118;CERESER DE MANZANA DIET SIN ALCOHOL;UNIDADES;1;10;0;8.990;0;0;2;1
7896072900415;ROSKOFF VODKA 965ML.;UNIDADES;25;10;0;16.000;0;11.981;2;1
7896072900484;VODKA CERESER 900ML;UNIDADES;1;10;0;14.200;0;11.700;2;1
7896072900491;RON CAPITAN CORTEZ;UNIDADES;1;10;0;19.800;0;0;2;1
7896072901139;CHANCELER WISKY 1000ML;UNIDADES;25;10;0;20.000;0;14.180;2;1
7896072901498;CERESER;UNIDADES;1;10;0;12.780;0;0;2;1
7896072901511;VODKA ROSKPFF TRIDEST 965M;UNIDADES;1;10;0;20.440;0;16.352;2;1
7896072901849;SIDRA CERESER SIN ALCOHOL NANZANA 660ML;UNIDADES;1;10;0;13.000;0;10.518;2;1
